Authors,Title,Year,DOI,Link,Author Keywords
"Macuga K.L.","Sensorimotor adaptation when steering with altered vehicle dynamics",2018,"10.1016/j.trf.2018.08.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052959786&doi=10.1016%2fj.trf.2018.08.018&partnerID=40&md5=c2349e5b145ed44f08d91d16900590ee","Driver behavior; Motor learning; Perception-action; Perceptual-motor performance; Virtual environments"
"Lametti D.R., Smith H.J., Watkins K.E., Shiller D.M.","Robust Sensorimotor Learning during Variable Sentence-Level Speech",2018,"10.1016/j.cub.2018.07.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054777546&doi=10.1016%2fj.cub.2018.07.030&partnerID=40&md5=f32297d583a7bdf26542bf9a18b4e8e3","motor learning; prediction; sensorimotor adaptation; sentence production; speech"
"French M.A., Morton S.M., Charalambous C.C., Reisman D.S.","A locomotor learning paradigm using distorted visual feedback elicits strategic learning",2018,"10.1152/jn.00252.2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054436831&doi=10.1152%2fjn.00252.2018&partnerID=40&md5=45da05b0afc44a0bac8eef8228ac9bbc","Explicit learning; Locomotion; Motor learning; Strategic learning"
"Pélisson D., Habchi O., Panouillères M.T.N., Hernoux C., Farnè A.","A cortical substrate for the long-term memory of saccadic eye movements calibration",2018,"10.1016/j.neuroimage.2018.06.051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048861686&doi=10.1016%2fj.neuroimage.2018.06.051&partnerID=40&md5=9e9cd3824484dbd0c60036eb34e6ce3c",
"Ruitenberg M.F.L., De Dios Y.E., Gadd N.E., Wood S.J., Reuter-Lorenz P.A., Kofman I., Bloomberg J.J., Mulavara A.P., Seidler R.D.","Multi-day Adaptation and Savings in Manual and Locomotor Tasks",2018,"10.1080/00222895.2017.1371110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029895863&doi=10.1080%2f00222895.2017.1371110&partnerID=40&md5=df73e96ac40bee4507cd2e490cdfbb9e","motor learning; savings; sensorimotor adaptation; visuospatial abilities"
"Reuter E.-M., Pearcey G.E.P., Carroll T.J.","Greater neural responses to trajectory errors are associated with superior force field adaptation in older adults",2018,"10.1016/j.exger.2018.05.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048593395&doi=10.1016%2fj.exger.2018.05.020&partnerID=40&md5=97c8e7d56e685d8d172efb385ce072da","Aging; Electroencephalography (EEG); Error-related negativity; Event related potential; Feedback-related negativity; Sensorimotor adaptation"
"Kumar V., Goyal R.","Influence of sensorimotor adaptation and learning process for rehabilitation on the functional mobility of a patient with traumatic brain injury: A case report",2018,"10.1016/j.cjtee.2018.02.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049723791&doi=10.1016%2fj.cjtee.2018.02.005&partnerID=40&md5=0ebaa2345940884d494c84ff3ce2d46f","Mobility; Rehabilitation; Traumatic brain injury"
"Erkelens I.M., Bobier W.R.","Adaptation of reflexive fusional vergence is directionally biased",2018,"10.1016/j.visres.2018.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049345576&doi=10.1016%2fj.visres.2018.06.006&partnerID=40&md5=3d6e6c30cc74db08c74266456229afe7","Adaptation; Eye movements; Sensorimotor adaptation; Vergence"
"Couth S., Gowen E., Poliakoff E.","How does ageing affect grasp adaptation to a visual–haptic size conflict?",2018,"10.1007/s00221-018-5288-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047242545&doi=10.1007%2fs00221-018-5288-1&partnerID=40&md5=a494bc6f9c7cfef996a6bce27992e844","Ageing; Grasp adaptation; Haptics; Motor control"
"Feng Y., Xiao Y., Yan Y., Max L.","Adaptation in Mandarin tone production with pitch-shifted auditory feedback: influence of tonal contrast requirements",2018,"10.1080/23273798.2017.1421317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041114794&doi=10.1080%2f23273798.2017.1421317&partnerID=40&md5=6bcceafe8d4a44982e0840e4a9416d9c","Auditory feedback; sensorimotor adaptation; tone identification; tone production"
"Behroozmand R., Sangtian S.","Neural bases of sensorimotor adaptation in the vocal motor system",2018,"10.1007/s00221-018-5272-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046032238&doi=10.1007%2fs00221-018-5272-9&partnerID=40&md5=38d0e829b8acd3de747f288f2c675028","Auditory feedback; ERP; Pitch-shift stimulus; Sensorimotor adaptation; Voice motor control"
"Gheorghe D.A., Panouillères M.T.N., Walsh N.D.","Psychosocial stress affects the acquisition of cerebellar-dependent sensorimotor adaptation",2018,"10.1016/j.psyneuen.2018.03.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056234081&doi=10.1016%2fj.psyneuen.2018.03.013&partnerID=40&md5=c27fb0d82a50ae74ddfbd182f228a1f2","Cerebellum; Cortisol; Eye movements; Learning; Saccadic adaptation; Stress"
"Charalambous C.C., Alcantara C.C., French M.A., Li X., Matt K.S., Kim H.E., Morton S.M., Reisman D.S.","A single exercise bout and locomotor learning after stroke: physiological, behavioural, and computational outcomes",2018,"10.1113/JP275881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045885737&doi=10.1113%2fJP275881&partnerID=40&md5=c2d5f0c01af197b0ff3126bf8b98444a","chronic stroke; computational motor control; exercise priming; motor learning; rehabilitation; sensorimotor adaptation"
"Albert S.T., Shadmehr R.","Estimating properties of the fast and slow adaptive processes during sensorimotor adaptation",2018,"10.1152/jn.00197.2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045410541&doi=10.1152%2fjn.00197.2017&partnerID=40&md5=baa5b800580c31dc4b9f950e374bf0ae","Expectation maximization; Motor learning; Two-state model"
"Cassady K., Ruitenberg M., Koppelmans V., Reuter-Lorenz P., De Dios Y., Gadd N., Wood S., Riascos Castenada R., Kofman I., Bloomberg J., Mulavara A., Seidler R.","Neural predictors of sensorimotor adaptation rate and savings",2018,"10.1002/hbm.23924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038927260&doi=10.1002%2fhbm.23924&partnerID=40&md5=9076e9d67aa9633d69797223e98174a2","functional connectivity; gray matter volume; neural predictors; savings; sensorimotor adaptation"
"Daliri A., Wieland E.A., Cai S., Guenther F.H., Chang S.-E.","Auditory-motor adaptation is reduced in adults who stutter but not in children who stutter",2018,"10.1111/desc.12521","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014281865&doi=10.1111%2fdesc.12521&partnerID=40&md5=eb04a557230f15150f7f63d542a97863",
"Butcher P.A., Taylor J.A.","Decomposition of a sensory prediction error signal for visuomotor adaptation",2018,"10.1037/xhp0000440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042002297&doi=10.1037%2fxhp0000440&partnerID=40&md5=cc74e5b35d28a334b042abc725bf63c0","Error decomposition; Explicit learning; Motor learning; Sensorimotor adaptation; Sensory prediction error"
"Daliri A., Max L.","Stuttering adults' lack of pre-speech auditory modulation normalizes when speaking with delayed auditory feedback",2018,"10.1016/j.cortex.2017.10.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034423269&doi=10.1016%2fj.cortex.2017.10.019&partnerID=40&md5=9b6f53c13aa4b3ae748a081abb576a41","Auditory modulation; Event-related potentials; Speech planning; Stuttering"
